References,Year
yamaguchi2011vulnerability,"""2011"""
riom2021revisiting,"""2015"""
ghaffarian2021neural,"""2016"""
li2018vuldeepecker,"""2016"""
3172102,"""2017"""
zhou2017automated,"""2017"""
Vuldiggerpaper,"""2017"""
li2017software,"""2017"""
3360588,"""2017"""
li2021vuldeelocator,"""2017"""
kronjee2018discovering,"""2018"""
chen2020machine,"""2018"""
jeon2021autovas,"""2018"""
zou2019mu,"""2018"""
liu2020cd,"""2018"""
3429444,"""2019"""
shippey2019automatically,"""2019"""
dinella2020hoppity,"""2019"""
le2018maximal,"""2019"""
lin2019software,"""2019"""
scandariato2014predicting,"""2019"""
hoang2019deepjit,"""2019"""
du2020cross,"""2019"""
cheng2019static,"""2019"""
li2019improving,"""2019"""
huang2021hunting,"""2020"""
li2021vulnerability,"""2020"""
wang2016automatically,"""2020"""
yamaguchi2013chucky,"""2020"""
yan2021han,"""2020"""
pascarella2019fine,"""2020"""
phan2017convolutional,"""2020"""
liu2019deepbalance,"""2020"""
duan2019vulsniper,"""2020"""
zhou2019devign,"""2020"""
nguyen2020deep,"""2020"""
dam2018automatic,"""2020"""
zhuang2020smart,"""2020"""
pradel2018deepbugs,"""2021"""
cheng2021deepwukong,"""2021"""
li2021sysevr,"""2021"""
tian2020bvdetector,"""2021"""
filus2020random,"""2021"""
zheng2021vulspg,"""2021"""
liu2021combining,"""2021"""
wu2021peculiar,"""2021"""
liu2021smart,"""2021"""
ding2022velvet,"""2021"""
sun2021vdsimilar,"""2021"""
allamanis2021self,"""2021"""
zheng2021vu1spg,"""2021"""
cao2021bgnn4vd,"""2021"""
wang2020combining,"""2021"""
zeng2021gcn2defect,"""2021"""
le2021deepcva,"""2021"""
cao2022mvd,"""2022"""
zhuang2022just,"""2022"""
cheng2022path,"""2022"""
fu2022linevul,"""2022"""
hin2022linevd,"""2022"""
xu2022detecting,"""2022"""
hanif2022vulberta,"""2022"""
jain2023multi,"""2022"""
guo2022hyvuldect,"""2022"""
ashizawa2021eth2vec,"""2022"""
hariharan2022proximal,"""2022"""
tang2022sevuldet,"""2022"""
wartschinski2022vudenc,"""2022"""
liu2022cpgbert,"""2022"""
wu2022vulcnn,"""2022"""
zou2022mvulpreter,"""2022"""
yang2022source,"""2022"""
nguyen2022mando2,"""2022"""
ni2022best,"""2022"""
zhang2022reentrancy,"""2022"""
nguyen2022mando,"""2022"""
li2023vulanalyzer,"""2023"""
sendner2023smarter,"""2023"""
liu2023vulnerable,"""2023"""
wu2023slicedlocator,"""2023"""
li2023vulhunter,"""2023"""
song2023hgivul,"""2023"""
fan2023vdotr,"""2023"""
gu2023binaiv,"""2023"""
wan2023software,"""2023"""
pan2023fine,"""2023"""
dong2023dekedver,"""2023"""
chen2023smart,"""2023"""
jie2023novel,"""2023"""
zhu2023grabit,"""2023"""
wang2023lcvd,"""2023"""
wen2023vulnerability,"""2023"""
wang2023deepvd,"""2023"""
wang2023binvuldet,"""2023"""
chen2023bitcn_drsn,"""2023"""
sun2023assbert,"""2023"""
ni2023function,"""2023"""
cai2023software,"""2023"""
you2023smartdt,"""2023"""
yu2023pscvfinder,"""2023"""
yuan2023enhancing,"""2023"""
li2023commit,"""2023"""
tang2023csgvd,"""2023"""
ren2023smart,"""2023"""
li2023smart,"""2023"""
zhang2023svscanner,"""2023"""
zhou2023smart,"""2023"""
zheng2023multitype,"""2023"""
li2023cross,"""2023"""
nguyen2023mando,"""2023"""
zhang2023cpvd,"""2023"""
yuan2023optimizing,"""2023"""
cai2023combine,"""2023"""
dong2023sedsvd,"""2023"""
tao2023vulnerability,"""2023"""
steenhoek2024dataflow,"""2024"""
nguyen2024deep,"""2024"""
tian2024enhancing,"""2024"""
wen2023meta,"""2024"""
nguyen2024context,"""2024"""
wu2024ultravcs,"""2024"""
huang2024effective,"""2024"""
xiao2024msgvul,"""2024"""
lu2024grace,"""2024"""
chen2024hybrid,"""2024"""
cai2024fine,"""2024"""
guo2023reentrancy,"""2024"""
zhen2024gnn,"""2024"""
wang2024graph,"""2024"""
nguyen2024code,"""2024"""
liu2024detect,"""2024"""
zhang2024vulnerability,"""2024"""
kong2024multi,"""2024"""
sun2024vdtriplet,"""2024"""
sun2024gptscan,"""2024"""
du2024vulnerability,"""2024"""
xiao2024vulnerability,"""2024"""
hussain2024vulnerability,"""2024"""
