BibliographyID,model_family
chen2020machine,Hybrid
zhou2017automated,Token
dam2018automatic,Token
shippey2019automatically,Graph
wang2016automatically,Tree
jeon2021autovas,Graph
tian2020bvdetector,Graph
liu2020cd,Graph
yamaguchi2013chucky,Token
wang2020combining,Tree
liu2021combining,Graph
phan2017convolutional,Graph
nguyen2020deep,Token
liu2019deepbalance,Tree
pradel2018deepbugs,Token
le2021deepcva,Token
hoang2019deepjit,Token
cheng2021deepwukong,Graph
zhou2019devign,Graph
kronjee2018discovering,Graph
3172102,Token
pascarella2019fine,Commit Metrics
zeng2021gcn2defect,Graph
yan2021han,Token
dinella2020hoppity,Tree
huang2021hunting,Graph
3360588,Graph
3429444,Token
hin2022linevd,Token
fu2022linevul,Graph
le2018maximal,Token
zou2019mu,Graph
cao2022mvd,Graph
ghaffarian2021neural,Graph
wu2021peculiar,Graph
scandariato2014predicting,Token
zhuang2020smart,Graph
li2017software,Tree
lin2019software,Tree
li2021sysevr,Graph
filus2020random,Token
riom2021revisiting,Commit Metrics
li2021vuldeelocator,Tree
li2018vuldeepecker,Graph
Vuldiggerpaper,Commit Metrics
li2021vulnerability,Graph
yamaguchi2011vulnerability,Token
duan2019vulsniper,Graph
zheng2021vulspg,Graph
zhuang2022just,Tree
cheng2022path,Tree
liu2021smart,Graph
ding2022velvet,Graph
zhang2022reentrancy,Tree
ni2022best,Commit Metrics
yang2022source,Graph
zou2022mvulpreter,Graph
nguyen2022mando,Graph
nguyen2022mando2,Graph
du2020cross,Token
steenhoek2024dataflow,Graph
li2023vulanalyzer,Graph
sendner2023smarter,Token
nguyen2024deep,Token
sun2021vdsimilar,Token
liu2023vulnerable,Graph
wu2023slicedlocator,Graph
li2023vulhunter,Graph
xu2022detecting,Tree
song2023hgivul,Graph
hanif2022vulberta,Token
fan2023vdotr,Graph
gu2023binaiv,Token
wan2023software,Graph
tian2024enhancing,Token
pan2023fine,Token
wen2023meta,Graph
dong2023dekedver,Hybrid
allamanis2021self,Graph
jain2023multi,Token
chen2023smart,Graph
jie2023novel,Graph
hussain2024vulnerability,Graph
zhu2023grabit,Graph
zheng2021vu1spg,Graph
nguyen2024context,Token
wu2024ultravcs,Graph
guo2022hyvuldect,Graph
huang2024effective,Token
xiao2024msgvul,Graph
wang2023lcvd,Graph
wen2023vulnerability,Graph
wang2023deepvd,Graph
wang2023binvuldet,Graph
cao2021bgnn4vd,Graph
chen2023bitcn_drsn,Token
lu2024grace,Tree
sun2023assbert,Graph
cheng2019static,Graph
ni2023function,Graph
cai2023software,Graph
you2023smartdt,Token
yu2023pscvfinder,Token
chen2024hybrid,Hybrid
yuan2023enhancing,Graph
ashizawa2021eth2vec,Tree
cai2024fine,Graph
li2023commit,Graph
tang2023csgvd,Graph
ren2023smart,Graph
guo2023reentrancy,Graph
zhen2024gnn,Graph
li2023smart,image
zhang2023svscanner,Tree
zhou2023smart,Token
zheng2023multitype,Graph
wang2024graph,Graph
nguyen2024code,Graph
li2023cross,Graph
liu2024detect,Graph
nguyen2023mando,Graph
zhang2023cpvd,Graph
hariharan2022proximal,Graph
tang2022sevuldet,Token
zhang2024vulnerability,Graph
yuan2023optimizing,Token
wartschinski2022vudenc,Token
liu2022cpgbert,Graph
kong2024multi,Graph
sun2024vdtriplet,Graph
sun2024gptscan,Token
cai2023combine,Graph
wu2022vulcnn,image
li2019improving,Tree
dong2023sedsvd,Graph
du2024vulnerability,Tree
xiao2024vulnerability,Graph
tao2023vulnerability,Graph
