Ref1,Year,Ref2,L1_repr
yamaguchi2011vulnerability,"""2011""",chen2020machine,Hybrid
riom2021revisiting,"""2015""",zhou2017automated,Token
ghaffarian2021neural,"""2016""",dam2018automatic,Graph
li2018vuldeepecker,"""2016""",shippey2019automatically,Graph
3172102,"""2017""",wang2016automatically,Tree
zhou2017automated,"""2017""",jeon2021autovas,Graph
Vuldiggerpaper,"""2017""",tian2020bvdetector,Graph
li2017software,"""2017""",liu2020cd,Graph
3360588,"""2017""",yamaguchi2013chucky,Token
li2021vuldeelocator,"""2017""",wang2020combining,Tree
kronjee2018discovering,"""2018""",liu2021combining,Graph
chen2020machine,"""2018""",phan2017convolutional,Graph
jeon2021autovas,"""2018""",nguyen2020deep,Token
zou2019mu,"""2018""",liu2019deepbalance,Tree
liu2020cd,"""2018""",pradel2018deepbugs,Token
3429444,"""2019""",le2021deepcva,Token
shippey2019automatically,"""2019""",hoang2019deepjit,Token
dinella2020hoppity,"""2019""",cheng2021deepwukong,Graph
le2018maximal,"""2019""",zhou2019devign,Graph
lin2019software,"""2019""",kronjee2018discovering,Graph
scandariato2014predicting,"""2019""",3172102,Token
hoang2019deepjit,"""2019""",pascarella2019fine,Commit Metrics
du2020cross,"""2019""",zeng2021gcn2defect,Graph
cheng2019static,"""2019""",yan2021han,Token
li2019improving,"""2019""",dinella2020hoppity,Tree
huang2021hunting,"""2020""",huang2021hunting,Graph
li2021vulnerability,"""2020""",3360588,Graph
wang2016automatically,"""2020""",3429444,Token
yamaguchi2013chucky,"""2020""",hin2022linevd,Token
yan2021han,"""2020""",fu2022linevul,Graph
pascarella2019fine,"""2020""",le2018maximal,Token
phan2017convolutional,"""2020""",zou2019mu,Graph
liu2019deepbalance,"""2020""",cao2022mvd,Graph
duan2019vulsniper,"""2020""",ghaffarian2021neural,Graph
zhou2019devign,"""2020""",wu2021peculiar,Graph
nguyen2020deep,"""2020""",scandariato2014predicting,Token
dam2018automatic,"""2020""",zhuang2020smart,Graph
zhuang2020smart,"""2020""",li2017software,Tree
pradel2018deepbugs,"""2021""",lin2019software,Tree
cheng2021deepwukong,"""2021""",li2021sysevr,Graph
li2021sysevr,"""2021""",filus2020random,Token
tian2020bvdetector,"""2021""",riom2021revisiting,Commit Metrics
filus2020random,"""2021""",li2021vuldeelocator,Tree
zheng2021vulspg,"""2021""",li2018vuldeepecker,Graph
liu2021combining,"""2021""",Vuldiggerpaper,Commit Metrics
wu2021peculiar,"""2021""",li2021vulnerability,Graph
liu2021smart,"""2021""",yamaguchi2011vulnerability,Token
ding2022velvet,"""2021""",duan2019vulsniper,Graph
sun2021vdsimilar,"""2021""",zheng2021vulspg,Graph
allamanis2021self,"""2021""",zhuang2022just,Tree
zheng2021vu1spg,"""2021""",cheng2022path,Tree
cao2021bgnn4vd,"""2021""",liu2021smart,Graph
wang2020combining,"""2021""",ding2022velvet,Graph
zeng2021gcn2defect,"""2021""",zhang2022reentrancy,Tree
le2021deepcva,"""2021""",ni2022best,Commit Metrics
cao2022mvd,"""2022""",yang2022source,Graph
zhuang2022just,"""2022""",zou2022mvulpreter,Graph
cheng2022path,"""2022""",nguyen2022mando,Graph
fu2022linevul,"""2022""",nguyen2022mando2,Graph
hin2022linevd,"""2022""",du2020cross,Token
xu2022detecting,"""2022""",steenhoek2024dataflow,Graph
hanif2022vulberta,"""2022""",li2023vulanalyzer,Graph
jain2023multi,"""2022""",sendner2023smarter,Token
guo2022hyvuldect,"""2022""",nguyen2024deep,Token
ashizawa2021eth2vec,"""2022""",sun2021vdsimilar,Token
hariharan2022proximal,"""2022""",liu2023vulnerable,Graph
tang2022sevuldet,"""2022""",wu2023slicedlocator,Graph
wartschinski2022vudenc,"""2022""",li2023vulhunter,Graph
liu2022cpgbert,"""2022""",xu2022detecting,Tree
wu2022vulcnn,"""2022""",song2023hgivul,Graph
zou2022mvulpreter,"""2022""",hanif2022vulberta,Token
yang2022source,"""2022""",fan2023vdotr,Graph
nguyen2022mando2,"""2022""",gu2023binaiv,Token
ni2022best,"""2022""",wan2023software,Graph
zhang2022reentrancy,"""2022""",tian2024enhancing,Token
nguyen2022mando,"""2022""",pan2023fine,Token
li2023vulanalyzer,"""2023""",wen2023meta,Graph
sendner2023smarter,"""2023""",dong2023dekedver,Hybrid
liu2023vulnerable,"""2023""",allamanis2021self,Graph
wu2023slicedlocator,"""2023""",jain2023multi,Token
li2023vulhunter,"""2023""",chen2023smart,Graph
song2023hgivul,"""2023""",jie2023novel,Graph
fan2023vdotr,"""2023""",hussain2024vulnerability,Graph
gu2023binaiv,"""2023""",zhu2023grabit,Graph
wan2023software,"""2023""",zheng2021vu1spg,Graph
pan2023fine,"""2023""",nguyen2024context,Token
dong2023dekedver,"""2023""",wu2024ultravcs,Graph
chen2023smart,"""2023""",guo2022hyvuldect,Graph
jie2023novel,"""2023""",huang2024effective,Token
zhu2023grabit,"""2023""",xiao2024msgvul,Graph
wang2023lcvd,"""2023""",wang2023lcvd,Graph
wen2023vulnerability,"""2023""",wen2023vulnerability,Graph
wang2023deepvd,"""2023""",wang2023deepvd,Graph
wang2023binvuldet,"""2023""",wang2023binvuldet,Graph
chen2023bitcn_drsn,"""2023""",cao2021bgnn4vd,Graph
sun2023assbert,"""2023""",chen2023bitcn_drsn,Token
ni2023function,"""2023""",lu2024grace,Tree
cai2023software,"""2023""",sun2023assbert,Graph
you2023smartdt,"""2023""",cheng2019static,Graph
yu2023pscvfinder,"""2023""",ni2023function,Graph
yuan2023enhancing,"""2023""",cai2023software,Graph
li2023commit,"""2023""",you2023smartdt,Token
tang2023csgvd,"""2023""",yu2023pscvfinder,Token
ren2023smart,"""2023""",chen2024hybrid,Hybrid
li2023smart,"""2023""",yuan2023enhancing,Graph
zhang2023svscanner,"""2023""",ashizawa2021eth2vec,Tree
zhou2023smart,"""2023""",cai2024fine,Graph
zheng2023multitype,"""2023""",li2023commit,Graph
li2023cross,"""2023""",tang2023csgvd,Graph
nguyen2023mando,"""2023""",ren2023smart,Graph
zhang2023cpvd,"""2023""",guo2023reentrancy,Graph
yuan2023optimizing,"""2023""",zhen2024gnn,Graph
cai2023combine,"""2023""",li2023smart,image
dong2023sedsvd,"""2023""",zhang2023svscanner,Tree
tao2023vulnerability,"""2023""",zhou2023smart,Token
steenhoek2024dataflow,"""2024""",zheng2023multitype,Graph
nguyen2024deep,"""2024""",wang2024graph,Graph
tian2024enhancing,"""2024""",nguyen2024code,Graph
wen2023meta,"""2024""",li2023cross,Graph
nguyen2024context,"""2024""",liu2024detect,Graph
wu2024ultravcs,"""2024""",nguyen2023mando,Graph
huang2024effective,"""2024""",zhang2023cpvd,Graph
xiao2024msgvul,"""2024""",hariharan2022proximal,Graph
lu2024grace,"""2024""",tang2022sevuldet,Token
chen2024hybrid,"""2024""",zhang2024vulnerability,Graph
cai2024fine,"""2024""",yuan2023optimizing,Token
guo2023reentrancy,"""2024""",wartschinski2022vudenc,Token
zhen2024gnn,"""2024""",liu2022cpgbert,Graph
wang2024graph,"""2024""",kong2024multi,Graph
nguyen2024code,"""2024""",sun2024vdtriplet,Graph
liu2024detect,"""2024""",sun2024gptscan,Token
zhang2024vulnerability,"""2024""",cai2023combine,Graph
kong2024multi,"""2024""",wu2022vulcnn,image
sun2024vdtriplet,"""2024""",li2019improving,Tree
sun2024gptscan,"""2024""",dong2023sedsvd,Graph
du2024vulnerability,"""2024""",du2024vulnerability,Tree
xiao2024vulnerability,"""2024""",xiao2024vulnerability,Graph
hussain2024vulnerability,"""2024""",tao2023vulnerability,Graph
