,BibliographyID,Language,Addressed problem,Publication,Problem concise,rq1_data_broad_source,rq1_project_name,rq1_repository_name,rq1_benchmark_name,Granularity,rq1_broad_type,rq1_sub_type,L1_repr,L2_repr,rq2_embedding,rq2_embedding_broad_cat,Vulnerability types (RQ4),Tools,broad_category,model_family,RQ3,Detection granularity (RQ5),Interpretable (RQ7),Abstract,,Further explanation
,chen2020machine,Java,"Previous approach uses manually-labeled data from the curated database for training new models, however, in this way, a large amount of data remains unused. This unused set includes data items that fail our initial keyword-based filtering, and data items that are predicted as not related to vulnerability by the current production models.",A machine learning approach for vulnerability curation,Training data problem,Hybrid,N.A,"Jira, Bugzilla, GitHub, CVE",NVD,"Issue, pr, commits, reports, emails, CVE",Hybrid,Hybrid,Hybrid,Token+Commit Metrics,Word2vec,Hybrid,N.A,scikit-learn,ML,N.A,"Random Forest, Naive Bayes, KNN, SVM, Gradient Boosting, AdaBoost",Binary,No,"Software composition analysis depends on database of open-source library vulerabilities, curated by security researchers using various sources, such as bug tracking systems, commits, and mailing lists. We report the design and implementation of a machine learning system to help the curation by by automatically predicting the vulnerability-relatedness of each data item. It supports a complete pipeline from data collection, model training and prediction, to the validation of new models before deployment. It is executed iteratively to generate better models as new input data become available. We use self-training to significantly and automatically increase the size of the training dataset, opportunistically maximizing the improvement in the models' quality at each iteration. We devised new deployment stability metric to evaluate the quality of the new models before deployment into production, which helped to discover an error. We experimentally evaluate the improvement in the performance of the models in one iteration, with 27.59% maximum PR AUC improvements. Ours is the first of such study across a variety of data sources. We discover that the addition of the features of the corresponding commits to the features of issues/pull requests improve the precision for the recall values that matter. We demonstrate the effectiveness of self-training alone, with 10.50% PR AUC improvement, and we discover that there is no uniform ordering of word2vec parameters sensitivity across data sources.",,https://docs.google.com/document/d/1oQiqsIvUdt79WnrWGKBaVu-xesQntzq3txVggRblQDM/edit?usp=sharing
,zhou2017automated,*,"Firstly, these tools can only support one or two specific languages and certain patterns of vulnerabilities well. For example, the static analysis tool FlawFinder [19] is limited to sending buffer overflow risks, race conditions, and potential shell meta-character usage in C/C++. Moreover, most of these approaches operate on an entire software project and deliver long lists of potentially unsafe code with extremely high false positive rates ",Automated identification of security issues from commit messages and reports,High false positive of static analyzers,Repository,N.A,"GitHub, Jira, Bugzilla",N.A,"commits, bug reports",text,text,Token,N.A,Word2vec,Token vector embedding,N.A,N.A,ML,N.A,"SVM, Logistic Regression, Random Forest, Naive Bayes, KNN, Gradient Boosting, AdaBoost",Binary,No,"The number of vulnerabilities in open source libraries is increasing rapidly. However, the majority of them do not go through public disclosure. These unidentified vulnerabilities put developers' products at risk of being hacked since they are increasingly relying on open source libraries to assemble and build software quickly. To find unidentified vulnerabilities in open source libraries and secure modern software development, we describe an efficient automatic vulnerability identification system geared towards tracking large-scale projects in real time using natural language processing and machine learning techniques. Built upon the latent information underlying commit messages and bug reports in open source projects using GitHub, JIRA, and Bugzilla, our K-fold stacking classifier achieves promising results on vulnerability identification. Compared to the state of the art SVM-based classifier in prior work on vulnerability identification in commit messages, we improve precision by 54.55% while maintaining the same recall rate. For bug reports, we achieve a much higher precision of 0.70 and recall rate of 0.71 compared to existing work. Moreover, observations from running the trained model at SourceClear in production for over 3 months has shown 0.83 precision, 0.74 recall rate, and detected 349 hidden vulnerabilities, proving the effectiveness and generality of the proposed approach. ",,https://docs.google.com/document/d/12x3jkjgXfF7KFo8XfqXS1RPLcjkkJnT1dbl1ujC3fzw/edit?usp=sharing
,dam2018automatic,Java,Existing vulnerability detection approaches suffer from inability of features to represent semantic and syntactic features wrestling in inaccurate vulnerability detection,Automatic Feature Learning for Predicting Vulnerable Software Components,Semantic,Benchmark,N.A,N.A,"F-Droid, Android IOS",AST,Code,Source code,Token,N.A,LSTM,Token vector embedding,N.A,"Theano, Keras/TensorFlow",DL,RNN,LSTM,Binary,No,"Code flaws or vulnerabilities are prevalent in software systems and can potentially cause a variety of problems including deadlock, hacking, information loss and system failure. A variety of approaches have been developed to try and detect the most likely locations of such code vulnerabilities in large code bases. Most of them rely on manually designing code features (e.g., complexity metrics or frequencies of code tokens) that represent the characteristics of the potentially problematic code to locate. However, all suffer from challenges in sufficiently capturing both semantic and syntactic representation of source code, an important capability for building accurate prediction models. In this paper, we describe a new approach, built upon the powerful deep learning Long Short Term Memory model, to automatically learn both semantic and syntactic features of code. Our evaluation on 18 Android applications and the Firefox application demonstrates that the prediction power obtained from our learned features is better than what is achieved by state of the art vulnerability prediction models, for both within-project prediction and cross-project prediction.",,https://docs.google.com/document/d/1EzwcG5NgRU1m7yCH58aC6i9PD3MIELN5FulI0A-mBDk/edit?usp=sharing
,shippey2019automatically,JAVA,existing traditional features cannot distinguish code regions of different semantics,Automatically identifying code features for software defect prediction using AST N grams,Semantic,Open Source Projects,"EJDT, ArgoUML, AspectJ, T1, T2, JMRI, SocialSDK, GenoViz, JBoss Reddeer, K Framework, JMOL",N.A,N.A,AST,Code,Source code,Graph,N.A,N-gram features,Others,N.A,"SZZ, JDK",Others,Others,n-gram models,Binary,No,"Identifying defects in code early is important. A wide range of static code metrics have been evaluated as potential defect indicators. Most of these metrics offer only high level insights and focus on particular pre-selected features of the code. None of the currently used metrics clearly performs best in defect prediction. We use Abstract Syntax Tree (AST) n-grams to identify features of defective Java code that improve defect prediction performance. Our approach is bottom-up and does not rely on pre-selecting any specific features of code. We use non-parametric testing to determine relationships between AST n-grams and faults in both open source and commercial systems. We build defect prediction models using three machine learning techniques.We show that AST n-grams are very significantly related to faults in some systems, with very large effect sizes. The occurrence of some frequently occurring AST n-grams in a method can mean that the method is up to three times more likely to contain a fault. AST n-grams can have a large effect on the performance of defect prediction models.We suggest that AST n-grams offer developers a promising approach to identifying potentially defective code.",,https://docs.google.com/document/d/1cq11trzKDyh-CkMJ6DOFLxsiBlB0CNPeso86_UsrHFA/edit?usp=sharing
,wang2016automatically,JAVA,existing traditional features cannot distinguish code regions of different semantics,Automatically learning semantic features for defect prediction,Semantic,Hybrid,"ant, camel, jEdit, log4j, lucence, xalan, xerces, ivy, synapse, poi",N.A,PROMISE ,AST,Code,Source code,Tree,N.A,Token integer mapping,Others,N.A,N.A,DL,DNN,DBN,Binary,No,"Software defect prediction, which predicts defective code regions, can help developers find bugs and prioritize their testing efforts. To build accurate prediction models, previous studies focus on manually designing features that encode the characteristics of programs and exploring different machine learning algorithms. Existing traditional features often fail to capture the semantic differences of programs, and such a capability is needed for building accurate prediction models. To bridge the gap between programs' semantics and defect prediction features, this paper proposes to leverage a powerful representation-learning algorithm, deep learning, to learn semantic representation of programs automatically from source code. Specifically, we leverage Deep Belief Network (DBN) to automatically learn semantic features from token vectors extracted from programs' Abstract Syntax Trees (ASTs). Our evaluation on ten open source projects shows that our automatically learned semantic features significantly improve both within-project defect prediction (WPDP) and cross-project defect prediction (CPDP) compared to traditional features. Our semantic features improve WPDP on average by 14.7% in precision, 11.5% in recall, and 14.2% in F1. For CPDP, our semantic features based approach outperforms the state-of-the-art technique TCA+ with traditional features by 8.9% in F1.",,https://docs.google.com/document/d/17xptCyvl3xBG9DFS7LZU3O2nbwo85WDNkukeflqgw9I/edit?usp=sharing
,jeon2021autovas,C/C++,"Existing deep learning models for vulnerability detection do not consider correlations among source code tokens inside source code snippets. Also, they are highly dependent on size and quality of training data.",AutoVAS An automated vulnerability analysis system with a deep learning approach,Semantic,Benchmark,N.A,N.A,"SARD, NVD",XFG,Code,Source code,Graph,Token,"Word2Vec, GloVe, FastText",Token vector embedding,N.A,Keras/TensorFlow,DL,RNN,"LSTM, ‌BiLSTM, GRU, BGRU",Binary,no,"Owing to the advances in automated hacking and analysis technologies in recent years, numerous software security vulnerabilities have been announced. Software vulnerabilities are increasing rapidly, whereas methods to analyze and cope with them depend on manual analyses, which result in a slow response. In recent years, studies concerning the prediction of vulnerabilities or the detection of patterns of previous vulnerabilities have been conducted by applying deep learning algorithms in an automated vulnerability search based on source code. However, existing methods target only certain security vulnerabilities or make limited use of source code to compile information. Few studies have been conducted on methods that represent source code as an embedding vector. Thus, this study proposes a deep learning-based automated vulnerability analysis system (AutoVAS) that effectively represents source code as embedding vectors by using datasets from various projects in the National Vulnerability Database (NVD) and Software Assurance Reference Database (SARD). To evaluate AutoVAS, we present and share a dataset for deep learning models. Experimental results show that AutoVAS achieves a false negative rate (FNR) of 3.62%, a false positive rate (FPR) of 1.88%, and an F1-score of 96.11%, which represent lower FNR and FPR values than those achieved by other approaches. We further apply AutoVAS to nine open-source projects and detect eleven vulnerabilities, most of which are missed by the other approaches we experimented with. Notably, we discovered three zero-day vulnerabilities, two of which were patched after being informed by AutoVAS. The other vulnerability received the Common Vulnerabilities and Exposures (CVE) ID after being detected by AutoVAS.",,https://docs.google.com/document/d/1gPU6y_yMY1oIZ3plmPyiRJLgRh99VLMY4va_IbxCe8k/edit?usp=sharing
,tian2020bvdetector,C/C++,"Existing static binary vulnerability detection methods often manually construct vulnerability patterns to analyse binary code, which are highly dependent on the expert's experience. Moreover, the fine distinctions between the vulnerable code and the non-vulnerable code are difficult to identify, which often leads to a high false positive rate or a high false negative rate.",BVDetector: A program slice based binary code vulnerability intelligent detection system,Rely on expert rules,Benchmark,N.A,N.A,SARD,XFG,Code,Binary code,Graph,N.A,Word2vec,Token vector embedding,"Memory Corruption, Number Handling, Memory Destruction, Numerical Processing","Keras/TensorFlow, Angr, Checkmarx",DL,RNN,"RNN, LSTM, ‌BiLSTM, GRU, BRNN, BGRU",Binary,No,"Software vulnerability detection is essential to ensure cybersecurity. Currently, most software is published in binary form, thus researchers can only detect vulnerabilities in these software by analysing binary programs. Although existing research approaches have made a substantial contribution to binary vulnerability detection, there are still many deficiencies, such as high false positive rate, detection with coarse granularity, and dependence on expert experience. The goal of this study is to perform fine-grained intelligent detection on the vulnerabilities in binary programs. This leads us to propose a fine-grained representation of binary programs and introduce deep learning techniques to intelligently detect the vulnerabilities. We use program slices of library/API function calls to represent binary programs. Additionally, we design and construct a Binary Gated Recurrent Unit (BGRU) network model to intelligently learn vulnerability patterns and automatically detect vulnerabilities in binary programs.This approach yields the design and implementation of a program slice-based binary code vulnerability intelligent detection system called BVDetector. We show that BVDetector can effectively detect vulnerabilities related to library/API function calls in binary programs, which reduces the false positive rate and false negative rate of vulnerability detection. This paper proposes a program slice-based binary code vulnerability intelligent detection system called BVDetector. The experimental results show that BVDetector can effectively reduce the false negative rate and false positive rate of binary vulnerability detection.",,https://docs.google.com/document/d/1uuqYBF50QRXjp45Q7vN7V8HYxe1hsuBYIQ5V95GagQk/edit?usp=sharing
1,liu2020cd,C/C++,"The training and test datasets are assumed to be drawn from the same distribution. This assumption is not in most cases since the test data comes from different distribution. In practice, the distribution assumption is often violated because there are both emerging novel vulnerability types and new projects containing known vulnerability types. In both cases, the models trained on known vulnerability types and existing projects often fail to predict new vulnerabilities because they do not follow the same distributions as the models’ training data.",CD-VulD: Cross-Domain Vulnerability Discovery based on Deep Domain Adaptation,Training data problem,Hybrid,"LibTIFF, FFmpeg, LibPNG",N.A,"SARD, NVD, CWE119, CWE399",Code gadgets,Code,Source code,Graph,N.A,Word2vec,Token vector embedding,"CWE119, CWE399","Keras/TensorFlow, GenSim, CodeSensor",Hybrid,Hybrid,"LSTM, KNN",Binary,No,"A major cause of security incidents such as cyber attacks is rooted in software vulnerabilities. These vulnerabilities should ideally be found and fixed before the code gets deployed. Machine learning-based approaches achieve state-of-the-art performance in capturing vulnerabilities. These methods are predominantly supervised. Their prediction models are trained on a set of ground truth data where the training data and test data are assumed to be drawn from the same probability distribution. However, in practice, the test data often differs from the training data in terms of distribution because they are from different projects or they differ in the types of vulnerability. In this article, we present a new system for Cross Domain Software Vulnerability Discovery (CD-VulD) using deep learning (DL) and domain adaptation (DA). We employ DL because it has the capacity of automatically constructing high-level abstract feature representations of programs, which are likely of more cross-domain useful than the handcrafted features driven by domain knowledge. The divergence between distributions is reduced by learning cross-domain representations. First, given software program representations, CD-VulD converts them into token sequences and learns the token embeddings for generalization across tokens. Next, CD-VulD employs a deep feature model to build abstract high-level presentations based on those sequences. Then, the metric transfer learning framework (MTLF) technique is employed to learn cross-domain representations by minimizing the distribution divergence between the source domain and the target domain. Finally, the cross-domain representations are used to build a classifier for vulnerability detection. Experimental results show that CD-VulD outperforms the state-of-the-art vulnerability detection approaches by a wide margin. We make the new datasets publicly available so that our work is replicable and can be further improved.",,https://docs.google.com/document/d/1ntepJm0U0v12vqWfFiZzxQctTMsrMV1LJFlOk5oFiME/edit?usp=sharing
,yamaguchi2013chucky,C/C++,"According to the Rice theorem, an automatic approach for finding arbitrary vulnerabilities cannot exist. As a result of this limitation, security research has focused on discovering specific types of vulnerabilities. For example, the usage of potentially dangerous functions, such as strcpy and strcat, can be easily detected by scanning for these functions. Many of these approaches, however, are hard to operate effectively in practice and opaque to a security analyst",Chucky: Exposing Missing Checks in Source Code for Vulnerability Discovery,Specific vulnerability types,Open Source Projects,"Firefox, Linux Kernel, LibPNG, LibTIFF, Pidgin",N.A,N.A,Tokenization,Code,Source code,Token,N.A,Integer mapping,Others,Missing checks,N.A,Others,Others,distance measure,Fine grained interpretations,yes,"Uncovering security vulnerabilities in software is a key for operating secure systems. Unfortunately, only some security flaws can be detected automatically and the vast majority of vulnerabilities is still identified by tedious auditing of source code. In this paper, we strive to improve this situation by accelerating the process of manual auditing. We introduce Chucky, a method to expose missing checks in source code. Many vulnerabilities result from insufficient input validation and thus omitted or false checks provide valuable clues for finding security flaws. Our method proceeds by statically tainting source code and identifying anomalous or missing conditions linked to security-critical objects.In an empirical evaluation with five popular open-source projects, Chucky is able to accurately identify artificial and real missing checks, which ultimately enables us to uncover 12 previously unknown vulnerabilities in two of the projects (Pidgin and LibTIFF).",,https://docs.google.com/document/d/1M3qCQ0RnA8ZDJJjjuNmAGOaK_BFY5hb4Nz4L-n38K20/edit?usp=sharing
,wang2020combining,C/C++,"prior LSTM-based methods only capture the shallow, surface structure of the source code text and fail to capitalize on the rich and well-defined semantics of the program structure. As shown in our evaluation, existing LSTM-like approaches often give poor accuracy, either missing vulnerabilities or giving overwhelmingly false-positive results.",Combining graph based learning with automated data collection for code vulnerability detection,LSTM performance problem,Hybrid,"FFmpeg, ImageMagick, Linux Kernel, OpenSC, rdesktop",GitHub,"SARD, NVD, SAP, ZvD",AST,Code,Source code,Tree,N.A,Word2vec,Graph embedding,"CWE-400, CWE-404, CWE-369, CWE-191, CWE-476, CWE-078, CWE-772, CWE-020, CWE-287, CWE-467, CWE-573, CWE-190, CWE-119, CWE-770, CWE-668, CWE-200, CWE-610, CWE-754, CWE-074, CWE-666, CWE-704, CWE-138, CWE-362, CWE-665, CWE-758, CWE-670, CWE-077, CWE-469, CWE-676, CWE-834","Keras/TensorFlow, scikit-learn, Soot, ANTLR, Joern",DL,Hybrid,"GGNN, GRU",Binary,No,"This paper presents FUNDED (Flow-sensitive vUl-Nerability coDE Detection), a novel learning framework for building vulnerability detection models. Funded leverages the advances in graph neural networks (GNNs) to develop a novel graph-based learning method to capture and reason about the program’s control, data, and call dependencies. Unlike prior work that treats the program as a sequential sequence or an untyped graph, Funded learns and operates on a graph representation of the program source code, in which individual statements are connected to other statements through relational edges. By capturing the program syntax, semantics and flows, Funded finds better code representation for the downstream software vulnerability detection task. To provide sufficient training data to build an effective deep learning model, we combine probabilistic learning and statistical assessments to automatically gather high-quality training samples from open-source projects. This provides many real-life vulnerable code training samples to complement the limited vulnerable code samples available in standard vulnerability databases. We apply Funded to identify software vulnerabilities at the function level from program source code. We evaluate Funded on large real-world datasets with programs written in C, Java, Swift and Php, and compare it against six state-of-the-art code vulnerability detection models. Experimental results show that Funded significantly outperforms alternative approaches across evaluation settings.",,https://docs.google.com/document/d/1l2HpUdRoQFoys0fnHDTovOIVp7hoqmT-lzHJrx0-XaE/edit?usp=sharing
