iTES: Integrated Testing and Evaluation System for Software Vulnerability Detection Methods,,,,
Software Vulnerability Detection Based on Anomaly-Attention,,,,
Techniques and Tools for Advanced Software Vulnerability Detection,,,,
Research on software security vulnerability detection technology,,,,
Message Passing Graph Neural Networks for Software Security Vulnerability Detection,,,,
Harnessing the Efficiency of Reformers to Detect Software Vulnerabilities,,,,
MVDetecter: Vulnerability Primitive-based General Memory Vulnerability Detection,,,,
Memory corruption vulnerabilities detection for Android binary software,,,,
Software Vulnerability Detection Based on Binary Intermediate Slicing,,,,
An Integration Testing Platform for Software Vulnerability Detection Method,,,,
Binary software vulnerability detection method based on attention mechanism,,,,
Software Vulnerability Detection using Large Language Models,,,,
A new method to construct the software vulnerability model,,,,
Vulnerability Dataset Construction Methods Applied To Vulnerability Detection: A Survey,,,,
Security Patterns from Intelligent Data: A Map of Software Vulnerability Analysis,,,,
CPMSVD: Cross-Project Multiclass Software Vulnerability Detection Via Fused Deep Feature and Domain Adaptation,,,,
Vulcloud: Scalable and Hybrid Vulnerability Detection in Cloud Computing,,,,
HLT: A Hierarchical Vulnerability Detection Model Based on Transformer,,,,
SoCFuzzer: SoC Vulnerability Detection using Cost Function enabled Fuzz Testing,,,,
Towards vulnerability prevention model for web browser using interceptor approach,,,,
Vulnerability Detection of Multiple Layer Colluding Application through Intent Privilege Checking,,,,
Automatic software vulnerability detection based on guided deep fuzzing,,,,
An Empirical Study on Vulnerability Detection for Source Code Software based on Deep Learning,,,,
Benchmark Requirements for Assessing Software Security Vulnerability Testing Tools,,,,
The Secret Life of Software Vulnerabilities: A Large-Scale Empirical Study,,,,
Machine Learning for Software Vulnerability Detection: A Survey,,,,
Software Vulnerabilities Integrated Management System,,,,
Analysis and Research of Computer Software Security Vulnerability Technology Based on COQ,,,,
A Comparative Study of Neural Network Techniques for Automatic Software Vulnerability Detection,,,,
ChatGPT for Vulnerability Detection, Classification, and Repair: How Far Are We?,,
Secure Mobile IPC Software Development with Vulnerability Detectors in Android Studio,,,,
Automatic Static Vulnerability Detection for Machine Learning Libraries: Are We There Yet?,,,,
Software Vulnerability Detection Using Deep Neural Networks: A Survey,,,,
NUVER: Network Based Vulnerability Visualizer,,,,
Assessing the Effectiveness of Vulnerability Detection via Prompt Tuning: An Empirical Study,,,,
Research on Linkage Model of Network Resource Survey and Vulnerability Detection in Power Information System,,,,
The Coming Era of AlphaHacking?: A Survey of Automatic Software Vulnerability Detection, Exploitation and Patching Techniques,,,
An Empirical Study of C++ Vulnerabilities in Crowd-Sourced Code Examples,,,,
Security Vulnerabilities in Categories of Clones and Non-Cloned Code: An Empirical Study,,,,
An Empirical Study of High-Impact Factors for Machine Learning-Based Vulnerability Detection,,,,
A Survey of Software Clone Detection From Security Perspective,,,,
Shallow or Deep? An Empirical Study on Detecting Vulnerabilities using Deep Learning,,,,
An Empirical Study On Software Metrics and Machine Learning to Identify Untrustworthy Code,,,,
Vulnerability Assessment in Autonomic Networks and Services: A Survey,,,,
Machine Learning to Combine Static Analysis Alerts with Software Metrics to Detect Security Vulnerabilities: An Empirical Study,,,,
A Survey on Vulnerability Detection Tools of Smart Contract Bytecode,,,,
Machine Learning for Software Vulnerability Analysis: A Survey,,,,
Navigating Web Application Security: A Survey of Vulnerabilities and Detection Solutions,,,,
An Empirical Study on Android-Related Vulnerabilities,,,,
Software Vulnerability Analysis and Discovery Using Deep Learning Techniques: A Survey,,,,
A framework for a systematic survey of known software defects,,,,
An Empirical Study on API-Misuse Bugs in Open-Source C Programs,,,,
Empirical Study of Software Composition Analysis Tools for C/C++ Binary Programs,,,,
"Detecting ""0-Day"" Vulnerability: An Empirical Study of Secret Security Patch in OSS",,,,
Static analysis approaches to detect SQL injection and cross site scripting vulnerabilities in web applications: A survey,,,,
A survey on Wireless Sensor Network for Community Intrusion Detection Systems,,,,
